username,nickname,is_verified,is_privateAcc,author_num_likes,author_num_followers,author_num_following,author_num_hearts,author_num_videos,vid_created_time,vid_desc,vid_likes,vid_plays,vid_shares,vid_comments,vid_duration,video_playAddr
luxe_football,Luxe Football,False,False,3285,241900,160,8600000,105,2022-03-26 02:34:35,"The details of messi’s vision and movements are incredible, he’s truly the greatest of all time 😍 #messi #football #soccer #footballedits #footballvideos #fyp #foryou #viral #trending #soccervideos #lionelmessi #ronaldo @Barcelona SC @psg",697000,6300000,7027,2482,21,https://v16m-webapp.tiktokcdn-us.com/50e2fcce78c18bb1e787abf8e10cbcf4/63605edf/video/tos/useast2a/tos-useast2a-pve-0068/cac7808e4c9746018da680a53f049e37/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=3640&bt=1820&cs=0&ds=3&ft=ebtHKHp8Myq8ZJjjNhe2NnBGfl7Gb&mime_type=video_mp4&qs=0&rc=Mzg0ZzlpNWhoN2RkaWlnPEBpMzZ0bjo6ZmYzOzMzNzczM0BfYWNiNTEuXmMxNS4xXjAyYSMvcy0tcjRvYXNgLS1kMTZzcw%3D%3D&l=20221031174825733A3B917461F5060013
nagaveta_oficial,nagaveta_oficial,False,False,175,48400,5,735800,160,2022-03-28 05:49:19,Essa copa era dele! 😐 #messi #leomessi #lionelmessi #argentina #selecionargentina #fifaworldcup2014,205700,3000000,1210,2161,14,https://v16m-webapp.tiktokcdn-us.com/e069246da7e7cf3290ff1cacb1aa43b7/63605ee0/video/tos/useast2a/tos-useast2a-ve-0068c004/02369a4e98a345cd8d6e4fd7bbd3ab44/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=2018&bt=1009&cs=0&ds=3&ft=ebtHKHp8Myq8ZKjjNhe2N.QGfl7Gb&mime_type=video_mp4&qs=0&rc=NDloOjU6Zjo3O2g7ZDU6O0BpM2g1Mzc6ZmxnPDMzNzczM0A0YjE1LTIzNWIxYi4vMC1hYSNgYjQtcjQway1gLS1kMTZzcw%3D%3D&l=20221031174833B543AB3BC49447062D03
donfutbol,Don Fútbol,False,False,1807,1000000,94,29200000,733,2022-03-29 06:34:32,Esto recién empieza señores. Listos para la parte 2? #futbol #messi #lionelmessi #ecuador #argentina #fyp #parati,344200,3300000,152,652,119,https://v16m-webapp.tiktokcdn-us.com/e73fa329866c6ff5e51e72e21891ac72/63605f43/video/tos/maliva/tos-maliva-ve-0068c800-us/233f89d3a0ba4bc7a558adfdea6b3e7b/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=1642&bt=821&cs=0&ds=3&ft=ebtHKHp8Myq8ZyjjNhe2NFD-fl7Gb&mime_type=video_mp4&qs=0&rc=OTs8aTg7aWdnNGY2MzU8Z0BpM288aWg6ZnM2PDMzNzczM0A1YWAwYDBiXjMxLjJiMzAyYSM2aWlmcjRnYS5gLS1kMTZzcw%3D%3D&l=2022103117482862D0860DBFEDC60643DA
donfutbol,Don Fútbol,False,False,1807,1000000,94,29200000,733,2022-03-29 12:14:27,Están listos para la parte 3? #futbol #messi #lionelmessi #ecuador #argentina #fyp #parati,409000,3800000,402,720,39,https://v16m-webapp.tiktokcdn-us.com/bbdf47446b7b90fad39a9af4afb13015/63605ef3/video/tos/maliva/tos-maliva-ve-0068c800-us/089d99c7eed5431484f34d2f7462b97e/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=1680&bt=840&cs=0&ds=3&ft=ebtHKHp8Myq8ZyjjNhe2NCt7fl7Gb&mime_type=video_mp4&qs=0&rc=ODg3Ojs1ZGRoMzM0aTRlO0BpanFndDc6Zjg7PDMzNzczM0AuYDAuNi9hX2MxXjIwNi40YSNpLjE1cjRfYy5gLS1kMTZzcw%3D%3D&l=2022103117482762D0860DBFEDC60643CD
theblackrider3.14,The Black Rider3.14,False,False,3573,81600,49,1600000,248,2022-03-30 17:19:42,#theblackrider314 #valentinoross #usa #motogp #marquez #bikelife #foryoupage #lionelmessi #motorcycle #warning⚠️ #uke #speedway #uke #foryou #bikelove,349400,4000000,3776,957,20,https://v16m-webapp.tiktokcdn-us.com/8b11eee66b9892e91ac6aefac9125ebf/63605ee0/video/tos/useast2a/tos-useast2a-ve-0068c004/5792ca1b0419407cb9645b6abb430b1c/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=2426&bt=1213&cs=0&ds=3&ft=ebtHKHp8Myq8ZyjjNhe2NFD-fl7Gb&mime_type=video_mp4&qs=0&rc=OmhlNDQ7ZTc4OzdoZzY6M0Bpampzbmc6Zmk0PDMzNzczM0AvMzUvNjYuXzYxYDYtYmE0YSNgZ2tlcjQwci9gLS1kMTZzcw%3D%3D&l=2022103117482862D0860DBFEDC60643DA
donfutbol,Don Fútbol,False,False,1807,977400,94,29200000,733,2022-03-31 03:51:06,Están listos para el capítulo final? #futbol #messi #lionelmessi #ecuador #argentina #fyp #parati,287500,2800000,102,367,54,https://v16m-webapp.tiktokcdn-us.com/2da7799011d83a507a9e2dc2802efee4/63605f04/video/tos/maliva/tos-maliva-ve-0068c800-us/46daae5c09f944638da6aa55183fbf70/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=1900&bt=950&cs=0&ds=3&ft=ebtHKHp8Myq8ZMjjNhe2Nsiufl7Gb&mime_type=video_mp4&qs=0&rc=NGY3NDhnNDtmNTw5NWQ7OkBpamxvPGg6ZjZlPDMzNzczM0AzNTUuNWJgNTQxYjNeXzJjYSNfaS40cjRnNi9gLS1kMTZzcw%3D%3D&l=2022103117483062D0860DBFEDC60643F1
fut..kings2,King 👑🐐,False,False,24400,52600,465,1800000,2358,2022-03-31 08:12:21,nunca fale mal da melhor seleção 🇧🇷  #messi #soccer #neymar #cristianoronaldo #realmadrid #funnyvideo #lionelmessi #football #vaiprofycaramba #FOOTBALL #fyp,297400,2900000,975,2140,61,https://v16m-webapp.tiktokcdn-us.com/691b9d88e0cf2f247e44817b7260904c/63605f0b/video/tos/useast2a/tos-useast2a-ve-0068c002/5754cd163d944bf8a2bd9bdefe404cc8/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=2442&bt=1221&cs=0&ds=3&ft=ebtHKHp8Myq8ZMjjNhe2Nsiufl7Gb&mime_type=video_mp4&qs=0&rc=Nzg2OjdpaTpkZTk7M2U5OUBpam1kbzo6ZjhpPDMzNzczM0A0NWNfM18zXmExLjIzNDQ1YSNrcl40cjRfMC9gLS1kMTZzcw%3D%3D&l=2022103117483062D0860DBFEDC60643F1
frsrdl,Jam tangan pria wanita,False,False,1737,123700,63,8000000,598,2022-04-02 23:26:49,messi sad injury☹️ #messi #lionelmessi #fcbarcelona #lionel #leo,209200,2700000,531,634,84,https://v16m-webapp.tiktokcdn-us.com/3f7a43fd25454216c4c706111aff8db6/63605f26/video/tos/useast2a/tos-useast2a-pve-0037c001-aiso/82353c0f558c487e8bb2e3caf2ab6aea/?a=1988&ch=0&cr=0&dr=0&lr=tiktok&cd=0%7C0%7C1%7C0&cv=1&br=2692&bt=1346&cs=0&ds=3&ft=ebtHKHp8Myq8ZKjjNhe2N.QGfl7Gb&mime_type=video_mp4&qs=0&rc=ZjtoaTQ8NGhlNTk1NztlaEBpM2Y8cDs6Zjw5PDMzZjgzM0BgNi1jYTQtXjUxNS1eNjE0YSMwL2FpcjRfajFgLS1kL2Nzcw%3D%3D&l=20221031174833B543AB3BC49447062D03
_cnshd_,_cnshd_,False,False,2702,55800,219,2600000,202,2022-04-03 02:30:23,I still don't wanna upload this #messi #f2 #challenge #skills #touch #football #fyp #leo #barcelona #fcb #lionelmessi #goat,387600,2600000,686,731,24,https://v16m-webapp.tiktokcdn-us.com/65fbcd5aa2b15cbb37cfc1a5206a7df9/63605ee4/video/tos/maliva/tos-maliva-ve-0068c800-us/a6d669c2878c4f48a6c260812ea8fbea/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=2788&bt=1394&cs=0&ds=3&ft=ebtHKHp8Myq8ZyjjNhe2NCt7fl7Gb&mime_type=video_mp4&qs=0&rc=ZGg2OWg8ZTU0OjpkOjQ5OUBpM2p4aWQ6Zmo8PDMzNzczM0BeMjA1XjAyXjYxMDNhLWFfYSMucmNucjRnXjFgLS1kMTZzcw%3D%3D&l=2022103117482762D0860DBFEDC60643CD
frsrdl,Jam tangan pria wanita,False,False,1737,123700,63,8000000,598,2022-04-04 20:23:31,MARADONA : PEMAIN SEPERTI MESSI HANYA ADA SETIAP 100 TAHUN SEKALI. #lionelmessi #messi #leo #leomessi,197400,1600000,3803,3330,20,https://v16m-webapp.tiktokcdn-us.com/02f92097a898ab63f07373deda76e448/63605ee6/video/tos/useast2a/tos-useast2a-pve-0037-aiso/0862dc3d66144b5daa15b59c7a9ad386/?a=1988&ch=0&cr=0&dr=0&lr=tiktok&cd=0%7C0%7C1%7C0&cv=1&br=1172&bt=586&cs=0&ds=3&ft=ebtHKHp8Myq8ZKjjNhe2NphRfl7Gb&mime_type=video_mp4&qs=0&rc=aTQ3PDc8ODQ7OmVpZTs4OEBpamh4dTM6ZmdoPDMzZjgzM0BeL19iLjNiXl8xYF5jM2EtYSM2Y2RecjQwMzJgLS1kL2Nzcw%3D%3D&l=202210311748344AA6A4FD8653DA0648B5
